id,device_id,ts,voltage,humidity,temperature,latitude,longitude
196,device2,2025-11-11 18:01:06.250975+05:30,0.49,35.22,30.40,0,0
197,device2,2025-11-11 18:02:29.553116+05:30,0.49,35.13,30.39,0,0
198,device2,2025-11-11 18:02:29.554352+05:30,0.49,35.18,30.37,0,0
199,device2,2025-11-11 18:02:29.554776+05:30,0.49,35.26,30.33,0,0
200,device1,2025-11-11 18:02:34.993318+05:30,0.33,40.73,27.04,0,0
201,device1,2025-11-11 18:02:34.995312+05:30,0.30,40.84,27.00,0,0
202,device2,2025-11-11 18:02:36.844152+05:30,0.49,35.23,30.32,0,0
203,device1,2025-11-11 18:02:38.770232+05:30,0.32,40.84,26.97,0,0
204,device2,2025-11-11 18:02:51.708152+05:30,0.49,35.20,30.32,0,0
205,device1,2025-11-11 18:02:53.781538+05:30,0.32,40.76,26.98,0,0
206,device2,2025-11-11 18:03:06.763662+05:30,0.49,35.21,30.32,0,0
207,device1,2025-11-11 18:03:08.924517+05:30,0.32,40.82,26.97,0,0
208,device2,2025-11-11 18:03:21.992323+05:30,0.49,35.27,30.33,0,0
209,device1,2025-11-11 18:03:24.279601+05:30,0.33,40.76,26.96,0,0
210,device2,2025-11-11 18:03:37.060419+05:30,0.49,35.23,30.34,0,0
211,device1,2025-11-11 18:03:39.195282+05:30,0.32,40.74,26.97,0,0
212,device2,2025-11-11 18:03:51.606368+05:30,0.49,35.19,30.35,0,0
213,device1,2025-11-11 18:03:54.06655+05:30,0.32,40.53,27.01,0,0
214,device2,2025-11-11 18:04:06.606448+05:30,0.49,35.15,30.36,0,0
215,device1,2025-11-11 18:04:09.119838+05:30,0.31,40.58,27.03,0,0
216,device2,2025-11-11 18:04:22.046212+05:30,0.49,35.01,30.37,0,0
217,device1,2025-11-11 18:04:23.863105+05:30,0.32,40.55,27.04,0,0
218,device2,2025-11-11 18:04:36.658851+05:30,0.49,35.08,30.40,0,0
219,device1,2025-11-11 18:04:38.767693+05:30,0.32,40.61,27.05,0,0
220,device2,2025-11-11 18:04:52.151679+05:30,0.49,35.00,30.42,0,0
221,device1,2025-11-11 18:04:53.764931+05:30,0.31,40.60,27.04,0,0
222,device2,2025-11-11 18:05:06.87015+05:30,0.49,35.00,30.43,0,0
223,device1,2025-11-11 18:05:08.927295+05:30,0.32,40.60,27.06,0,0
224,device2,2025-11-11 18:05:21.809146+05:30,0.49,34.98,30.45,0,0
225,device1,2025-11-11 18:05:23.830292+05:30,0.32,40.46,27.09,0,0
226,device2,2025-11-11 18:05:36.896032+05:30,0.49,34.89,30.47,0,0
227,device1,2025-11-11 18:05:41.551487+05:30,0.31,40.27,27.08,0,0
228,device2,2025-11-11 18:05:51.800746+05:30,0.49,34.88,30.46,0,0
229,device1,2025-11-11 18:05:53.983918+05:30,0.32,40.44,27.04,0,0
230,device2,2025-11-11 18:06:07.297932+05:30,0.50,34.88,30.43,0,0
231,device1,2025-11-11 18:06:08.776597+05:30,0.32,40.54,27.00,0,0
232,device2,2025-11-11 18:06:21.761271+05:30,0.49,34.93,30.42,0,0
233,device1,2025-11-11 18:06:28.993899+05:30,0.31,40.61,27.00,0,0
234,device2,2025-11-11 18:06:36.983579+05:30,0.49,34.95,30.40,0,0
235,device1,2025-11-11 18:06:38.966319+05:30,0.30,40.65,26.96,0,0
236,device2,2025-11-11 18:06:51.678259+05:30,0.49,35.08,30.39,0,0
237,device1,2025-11-11 18:06:53.720543+05:30,0.33,40.74,26.95,0,0
238,device2,2025-11-11 18:07:06.81418+05:30,0.49,34.93,30.38,0,0
239,device1,2025-11-11 18:07:08.847538+05:30,0.32,40.57,26.95,0,0
240,device2,2025-11-11 18:07:21.750699+05:30,0.49,34.88,30.36,0,0
241,device1,2025-11-11 18:07:24.066117+05:30,0.32,40.60,26.93,0,0
242,device2,2025-11-11 18:07:36.951262+05:30,0.49,34.95,30.34,0,0
243,device1,2025-11-11 18:07:39.216256+05:30,0.32,40.66,26.90,0,0
244,device2,2025-11-11 18:07:51.819312+05:30,0.49,35.03,30.31,0,0
245,device1,2025-11-11 18:07:54.010239+05:30,0.33,40.74,26.88,0,0
246,device2,2025-11-11 18:08:07.193039+05:30,0.49,35.06,30.28,0,0
247,device1,2025-11-11 18:08:08.94089+05:30,0.33,40.73,26.88,0,0
248,device2,2025-11-11 18:08:22.013767+05:30,0.49,35.07,30.25,0,0
249,device1,2025-11-11 18:08:23.760524+05:30,0.33,40.69,26.85,0,0
250,device2,2025-11-11 18:08:36.750557+05:30,0.49,35.11,30.22,0,0
